Horizon,Model,Average_WIS,Average_MAE,Average_MSE
0,team_name-model_name,18.864285714285717,20,400
1,team_name-model_name,13.292857142857143,7,49
2,team_name-model_name,12.007142857142856,6,36
3,team_name-model_name,23.150000000000002,30,900
0,UGuelph-CompositeCurve,NA,NA,NA
1,UGuelph-CompositeCurve,NA,NA,NA
2,UGuelph-CompositeCurve,NA,NA,NA
3,UGuelph-CompositeCurve,NA,NA,NA
0,UGuelphensemble-GRYPHON,32.00714285714286,50,2500
1,UGuelphensemble-GRYPHON,26.150000000000002,37,1369
2,UGuelphensemble-GRYPHON,20.57857142857143,24,576
3,UGuelphensemble-GRYPHON,NA,NA,NA
